epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,4055.99,0.85731,0.36165,0.00338,0.85636,0.84369,0.88634,0.70633,1.02414,0.47115,0.00502,0.00011975,0.00011975,0.00011975
139,4085.13,0.84418,0.35656,0.00338,0.81145,0.8445,0.88147,0.69722,1.02817,0.47092,0.00504,0.0001115,0.0001115,0.0001115
140,4114.72,0.85715,0.36833,0.00351,0.89664,0.8506,0.90269,0.71448,1.02843,0.46302,0.00505,0.00010325,0.00010325,0.00010325
141,4143.17,0.79301,0.28944,0.00374,0.92096,0.81866,0.91045,0.71697,1.02866,0.46223,0.00508,9.5e-05,9.5e-05,9.5e-05
142,4171.17,0.79303,0.29428,0.00376,0.89932,0.8333,0.90744,0.71631,1.02819,0.46311,0.00505,8.675e-05,8.675e-05,8.675e-05
143,4200.57,0.78003,0.28373,0.00374,0.90501,0.82915,0.90578,0.7202,1.02807,0.46835,0.00505,7.85e-05,7.85e-05,7.85e-05
144,4228.53,0.77843,0.28067,0.00366,0.91734,0.83114,0.91241,0.7242,1.02727,0.46799,0.00503,7.025e-05,7.025e-05,7.025e-05
145,4256.55,0.77403,0.28132,0.00362,0.92204,0.82421,0.89647,0.71032,1.02309,0.47094,0.00503,6.2e-05,6.2e-05,6.2e-05
146,4284.37,0.76845,0.27754,0.00365,0.90592,0.82904,0.91112,0.72639,1.02871,0.46944,0.00504,5.375e-05,5.375e-05,5.375e-05
147,4311.99,0.76711,0.28056,0.00359,0.90888,0.82549,0.89527,0.71145,1.0236,0.47251,0.00502,4.55e-05,4.55e-05,4.55e-05
148,4340.16,0.76439,0.28243,0.00358,0.92406,0.8159,0.89707,0.71025,1.02653,0.47367,0.00503,3.725e-05,3.725e-05,3.725e-05
149,4367.88,0.76544,0.2787,0.00357,0.91617,0.82371,0.89813,0.71386,1.02575,0.4723,0.00502,2.9e-05,2.9e-05,2.9e-05
150,4397.3,0.76443,0.27375,0.00359,0.91306,0.82352,0.90149,0.71715,1.02654,0.47609,0.00503,2.075e-05,2.075e-05,2.075e-05
